L;SM;EM;IM;SB;EB;IB;RB;DB
100.0;500.0;0.0;50.0;300.0;0.0;0.0;0.0;0.0
127.4371224947909;488.0;0.0;50.0;314.0;0.0;0.0;0.0;0.0
122.0847842616504;468.0;0.0;50.0;326.0;0.0;1.0;0.0;0.0
97.79108274841313;439.0;0.0;46.0;339.0;1.0;0.0;1.0;0.0
76.08042553686579;420.0;0.0;43.0;357.0;1.0;1.0;1.0;1.0
66.01172239683808;403.0;0.0;41.0;369.0;1.0;2.0;1.0;2.0
64.70543350880708;386.0;0.0;40.0;381.0;0.0;2.0;3.0;2.0
74.36281681796979;372.0;0.0;39.0;391.0;0.0;1.0;3.0;3.0
99.00343844219915;364.0;0.0;38.0;401.0;1.0;1.0;3.0;3.0
130.36439559006214;354.0;0.0;37.0;404.0;7.0;1.0;4.0;3.0
131.04570969965542;346.0;0.0;35.0;412.0;7.0;2.0;5.0;3.0
115.40254246092134;341.0;0.0;34.0;422.0;2.0;5.0;6.0;4.0
113.33455217068875;328.0;0.0;33.0;428.0;1.0;5.0;7.0;5.0
108.72113077484144;316.0;0.0;31.0;433.0;0.0;5.0;8.0;5.0
100.91810084112102;309.0;0.0;31.0;435.0;1.0;4.0;8.0;6.0
88.76954691507864;289.0;0.0;29.0;436.0;3.0;4.0;9.0;6.0
91.08889902745189;282.0;0.0;27.0;438.0;3.0;6.0;9.0;6.0
118.91588658588176;278.0;0.0;25.0;436.0;3.0;7.0;10.0;6.0
170.35460391723032;278.0;0.0;24.0;437.0;4.0;8.0;11.0;6.0
224.25708585827945;281.0;0.0;23.0;434.0;4.0;11.0;11.0;7.0
258.22744183341274;284.0;0.0;23.0;430.0;6.0;11.0;11.0;10.0
258.3901961032788;284.0;0.0;23.0;428.0;2.0;13.0;12.0;14.0
240.43921058550558;280.0;0.0;23.0;426.0;3.0;11.0;12.0;17.0
257.92279307767524;281.0;0.0;23.0;423.0;2.0;10.0;15.0;19.0
264.34510514758057;278.0;0.0;23.0;424.0;2.0;8.0;16.0;20.0
268.3748718167731;279.0;0.0;23.0;423.0;1.0;6.0;17.0;23.0
292.55670901451714;286.0;0.0;23.0;418.0;3.0;7.0;17.0;25.0
310.37669885501896;282.0;0.0;21.0;416.0;4.0;7.0;17.0;28.0
292.9164266963815;279.0;0.0;21.0;414.0;3.0;7.0;18.0;30.0
283.57251763329924;276.0;0.0;21.0;411.0;5.0;6.0;18.0;32.0
305.07662578155816;278.0;0.0;20.0;406.0;4.0;11.0;18.0;33.0
350.58660419593014;280.0;0.0;20.0;402.0;3.0;11.0;19.0;37.0
397.07544152974117;289.0;0.0;18.0;400.0;4.0;5.0;22.0;41.0
442.6860658420931;303.0;0.0;17.0;392.0;9.0;3.0;22.0;46.0
488.8774889324724;312.0;0.0;17.0;388.0;7.0;8.0;22.0;47.0
514.8059586228869;328.0;0.0;17.0;380.0;8.0;10.0;25.0;49.0
549.8888392845696;335.0;0.0;17.0;376.0;6.0;10.0;26.0;54.0
572.9941591430158;346.0;0.0;16.0;373.0;5.0;7.0;27.0;60.0
578.7955013209644;358.0;0.0;16.0;372.0;1.0;7.0;29.0;63.0
589.9566462840575;368.0;0.0;16.0;367.0;3.0;9.0;30.0;63.0
617.3217940645105;388.0;0.0;16.0;364.0;4.0;8.0;30.0;66.0
656.4039655791471;410.0;0.0;16.0;363.0;2.0;8.0;31.0;68.0
691.624241352262;421.0;0.0;15.0;358.0;5.0;7.0;32.0;70.0
712.855046677191;431.0;0.0;14.0;357.0;4.0;5.0;35.0;71.0
743.5474980562154;457.0;0.0;14.0;355.0;3.0;4.0;37.0;73.0
788.5365561742775;480.0;0.0;14.0;348.0;7.0;6.0;37.0;74.0
818.6719725945559;499.0;0.0;13.0;345.0;4.0;8.0;37.0;78.0
838.9905110539233;518.0;0.0;12.0;341.0;4.0;8.0;38.0;81.0
886.9839445814246;545.0;0.0;12.0;338.0;2.0;7.0;38.0;87.0
926.7225200922381;581.0;0.0;12.0;334.0;5.0;7.0;38.0;88.0
970.8835180794506;619.0;1.0;12.0;333.0;1.0;10.0;39.0;89.0
1014.590281021749;627.0;1.0;12.0;331.0;1.0;8.0;40.0;92.0
1043.2854062033584;649.0;1.0;12.0;330.0;1.0;5.0;40.0;96.0
1087.6554004540458;692.0;1.0;12.0;326.0;5.0;4.0;40.0;97.0
1151.208175587757;733.0;1.0;12.0;323.0;3.0;6.0;41.0;99.0
1199.9900442015942;781.0;1.0;12.0;323.0;1.0;7.0;41.0;100.0
1212.7852591193632;835.0;1.0;11.0;321.0;3.0;4.0;43.0;101.0
1278.7251764619123;880.0;1.0;11.0;319.0;1.0;7.0;43.0;102.0
1308.9392694880619;911.0;1.0;10.0;316.0;2.0;5.0;44.0;105.0
1383.9240456359921;945.0;1.0;10.0;316.0;0.0;4.0;45.0;107.0
1447.5062577671042;993.0;2.0;8.0;312.0;3.0;4.0;45.0;108.0
1516.6478165901221;1047.0;2.0;8.0;311.0;3.0;5.0;45.0;108.0
1575.2947403508347;1090.0;2.0;8.0;310.0;2.0;4.0;45.0;111.0
1552.904359109145;1111.0;3.0;8.0;310.0;1.0;4.0;45.0;112.0
1516.1241804492033;1136.0;3.0;7.0;307.0;3.0;3.0;45.0;114.0
1560.4796829427703;1166.0;3.0;7.0;306.0;2.0;4.0;45.0;115.0
1636.4400794725675;1196.0;3.0;7.0;301.0;2.0;5.0;45.0;119.0
1635.2071042329603;1226.0;3.0;7.0;300.0;0.0;5.0;46.0;121.0
