L;SM;EM;IM;SB;EB;IB;RB;DB
100.0;500.0;0.0;50.0;300.0;0.0;0.0;0.0;0.0
127.5552770243906;485.0;0.0;47.0;310.0;1.0;1.0;0.0;0.0
126.01993345197374;466.0;0.0;44.0;316.0;2.0;3.0;0.0;0.0
99.41496188575339;446.0;1.0;43.0;330.0;1.0;4.0;0.0;1.0
70.28999551824313;430.0;0.0;39.0;344.0;0.0;4.0;0.0;2.0
59.036771197237115;412.0;0.0;36.0;361.0;0.0;3.0;0.0;4.0
56.043264157183685;400.0;0.0;35.0;372.0;1.0;5.0;0.0;5.0
65.68083007035665;385.0;0.0;31.0;385.0;1.0;4.0;1.0;6.0
97.0284284078639;376.0;0.0;29.0;396.0;3.0;3.0;1.0;7.0
119.00754256409799;370.0;1.0;28.0;401.0;5.0;5.0;1.0;7.0
112.41116504011991;362.0;1.0;26.0;417.0;2.0;6.0;2.0;8.0
105.30817364826585;351.0;1.0;24.0;426.0;1.0;4.0;2.0;13.0
100.52778258965452;343.0;1.0;24.0;431.0;1.0;3.0;2.0;15.0
90.01076226171021;333.0;1.0;23.0;432.0;2.0;2.0;2.0;16.0
77.48103825023837;322.0;1.0;21.0;434.0;1.0;3.0;3.0;16.0
68.26025242595504;309.0;1.0;21.0;438.0;0.0;2.0;4.0;17.0
74.25295411140385;301.0;1.0;21.0;440.0;1.0;3.0;4.0;17.0
100.80343832052655;290.0;1.0;20.0;439.0;0.0;3.0;5.0;19.0
147.23466157491646;287.0;1.0;20.0;437.0;0.0;3.0;5.0;21.0
197.84883201833702;288.0;0.0;21.0;431.0;5.0;2.0;6.0;22.0
232.32029824591257;289.0;0.0;21.0;431.0;1.0;5.0;7.0;23.0
235.99775979523162;293.0;0.0;21.0;429.0;3.0;4.0;7.0;24.0
226.5609331280607;287.0;0.0;21.0;423.0;6.0;7.0;7.0;24.0
236.10968133983565;291.0;0.0;20.0;419.0;5.0;7.0;9.0;27.0
246.2635693376117;294.0;0.0;20.0;416.0;3.0;11.0;9.0;28.0
258.40047933364195;291.0;0.0;19.0;414.0;2.0;6.0;11.0;34.0
288.19826792804446;292.0;0.0;18.0;411.0;4.0;5.0;11.0;36.0
302.87893965482505;290.0;0.0;17.0;408.0;3.0;6.0;11.0;39.0
287.30779920044904;284.0;1.0;17.0;406.0;3.0;4.0;11.0;43.0
272.70831921453293;283.0;1.0;17.0;406.0;1.0;3.0;11.0;46.0
297.7732862243832;282.0;1.0;17.0;402.0;2.0;3.0;12.0;48.0
341.240690123247;286.0;1.0;17.0;395.0;7.0;3.0;14.0;48.0
386.0172644806733;302.0;1.0;17.0;393.0;4.0;5.0;14.0;51.0
440.8294799723572;306.0;1.0;17.0;385.0;8.0;8.0;14.0;52.0
479.1510940241176;328.0;1.0;16.0;378.0;9.0;8.0;14.0;58.0
517.372764671925;351.0;1.0;16.0;375.0;10.0;7.0;15.0;60.0
555.533271868224;373.0;1.0;16.0;371.0;3.0;10.0;18.0;65.0
578.1706789951587;397.0;1.0;16.0;366.0;3.0;11.0;19.0;68.0
596.2315766766227;410.0;1.0;16.0;366.0;0.0;10.0;20.0;71.0
618.8136324020365;424.0;2.0;16.0;362.0;4.0;9.0;20.0;72.0
657.1264205786398;450.0;2.0;16.0;358.0;5.0;7.0;24.0;73.0
701.9436921046067;482.0;2.0;16.0;354.0;7.0;6.0;25.0;75.0
754.9810848788263;503.0;1.0;17.0;352.0;3.0;9.0;25.0;78.0
805.1046078796505;513.0;1.0;17.0;351.0;1.0;8.0;28.0;79.0
852.6192327461667;537.0;1.0;16.0;348.0;2.0;6.0;29.0;82.0
897.7042700694909;566.0;1.0;16.0;343.0;5.0;7.0;29.0;83.0
940.6615856903367;592.0;1.0;15.0;338.0;5.0;8.0;29.0;87.0
975.475217987206;610.0;1.0;15.0;330.0;6.0;9.0;30.0;92.0
1020.1113678907617;656.0;1.0;15.0;326.0;3.0;14.0;30.0;94.0
1082.3105016046145;689.0;1.0;14.0;324.0;4.0;8.0;34.0;97.0
1135.703475491232;727.0;1.0;14.0;321.0;4.0;6.0;35.0;101.0
1190.9327677253198;756.0;1.0;13.0;317.0;3.0;11.0;35.0;101.0
1243.9984991073557;789.0;1.0;13.0;313.0;6.0;8.0;36.0;104.0
1299.8899584861767;836.0;2.0;13.0;310.0;2.0;10.0;37.0;108.0
1367.2630940513945;893.0;3.0;13.0;304.0;3.0;8.0;41.0;111.0
